customer_id,age,country,subscription_plan,tenure_months,monthly_fee,total_spend,avg_logins_per_week,support_tickets,payment_delays,last_login_days,churn,recency_score,frequency_score,monetary_score,engagement_score,usage_decline,estimated_clv
e5bf4418-b5f1-432c-8582-67b9451ae730,57,India,Basic,40,20,800,6,3,1,53,0,0.018518518518518517,4.199999999999999,800,14.8,0,800.0
942af8cc-5a9f-4105-af96-7873f30ba929,47,India,Basic,36,20,720,9,1,1,54,0,0.01818181818181818,5.6,720,15.1,1,720.0
fa02f996-5365-4b64-a932-463eab4333d3,49,Canada,Pro,10,50,500,6,5,0,40,1,0.024390243902439025,4.6,500,6.0,1,250.0
a91cee55-ee57-4c15-9b20-547b6f07b19d,64,USA,Pro,13,50,650,8,1,0,30,0,0.03225806451612903,5.0,650,7.9,0,650.0
d14eed72-6ebe-42d3-a1df-f6f8c674b89a,55,Germany,Pro,19,50,950,8,1,2,33,0,0.029411764705882353,5.0,950,9.299999999999999,0,950.0
100c370e-04ba-4b51-8086-4bc819e0f678,58,India,Enterprise,42,120,5040,5,2,0,27,0,0.03571428571428571,3.4,5040,15.1,0,5040.0
5d548fd0-a49f-468d-b3bb-39cb153f2efe,63,UK,Enterprise,18,120,2160,3,2,0,2,0,0.3333333333333333,2.1999999999999997,2160,6.8999999999999995,0,2160.0
f033ce25-552a-4ccb-903e-dba91e0824d9,38,Canada,Basic,16,20,320,3,1,1,2,0,0.3333333333333333,1.9999999999999998,320,6.1,1,320.0
055c2b72-9832-4046-912a-cb7871c5d996,37,UK,Basic,44,20,880,4,1,2,19,0,0.05,2.6,880,14.799999999999999,0,880.0
b9833bb8-5aad-4cf2-82bd-ffb854ae99a6,28,Germany,Enterprise,3,120,360,1,4,0,45,1,0.021739130434782608,1.4,360,1.4,1,180.0
41dfc42f-18a1-4d8e-a166-4d8cd152e2f5,54,USA,Pro,9,50,450,8,1,1,49,0,0.02,5.0,450,6.499999999999999,0,450.0
6c79d850-2bc3-4963-b876-8bfbce50d6aa,36,UK,Basic,40,20,800,2,3,0,53,0,0.018518518518518517,1.8,800,13.0,1,800.0
968b081f-af0c-45af-a9e0-a79554b2911d,41,Germany,Enterprise,11,120,1320,5,4,0,38,0,0.02564102564102564,3.8,1320,5.8,1,1320.0
c24311ee-a475-405e-8ceb-63d60bf0048a,38,USA,Basic,2,20,40,5,4,0,39,0,0.025,3.8,40,3.1,0,40.0
d24486b0-3590-4be8-90ad-793dd65bd062,66,USA,Basic,16,20,320,5,3,1,27,0,0.03571428571428571,3.6,320,7.1,0,320.0
b10ddfad-9c4f-400a-a69e-8fb2c1c5a95d,62,Canada,Basic,26,20,520,3,4,0,5,0,0.16666666666666666,2.5999999999999996,520,9.3,0,520.0
f3b7f75f-b6c0-4efb-9c8c-3e7c2a6758f7,54,Germany,Enterprise,42,120,5040,6,3,2,39,1,0.025,4.199999999999999,5040,15.2,0,2520.0
b6ee0ce0-e611-4da4-937b-70d8c91e1647,42,India,Basic,1,20,20,5,2,2,52,0,0.018867924528301886,3.4,20,2.4,0,20.0
701a1332-1c49-480b-87cb-27728e0f95f9,20,Canada,Basic,33,20,660,8,2,2,39,0,0.025,5.2,660,13.5,0,660.0
782095ac-2994-4d15-87d3-7340aa1a66ba,28,Canada,Enterprise,43,120,5160,10,2,1,45,0,0.021739130434782608,6.4,5160,17.7,0,5160.0
1bcba3bd-e560-4b7f-87f3-d74b802f69f8,36,India,Enterprise,35,120,4200,5,3,0,17,0,0.05555555555555555,3.6,4200,13.0,0,4200.0
10d33642-4fdc-4b69-b726-9b4d436c408e,68,Germany,Pro,25,50,1250,0,0,1,20,0,0.047619047619047616,0.0,1250,7.3,0,1250.0
4fb9a536-f68d-4635-8b4a-e42bf2c649fd,69,UK,Pro,1,50,50,2,0,1,35,0,0.027777777777777776,1.2,50,1.1,0,50.0
b2496328-59c0-4f88-8d0d-39e4777f2088,29,Canada,Basic,19,20,380,6,1,1,33,0,0.029411764705882353,3.8,380,8.5,0,380.0
52e34e40-7a74-4f74-a714-e8e20ec68800,20,Germany,Basic,13,20,260,3,2,1,5,0,0.16666666666666666,2.1999999999999997,260,5.2,0,260.0
c2b7f191-3a1e-4467-b976-8ca74daf6103,20,USA,Pro,32,50,1600,3,3,1,10,0,0.09090909090909091,2.4,1600,10.9,1,1600.0
1fe9b5ce-a4da-48aa-9401-4063d65b6fb6,69,India,Basic,45,20,900,2,4,0,41,1,0.023809523809523808,2.0,900,14.5,0,450.0
072b8d6d-1714-49e8-b6e0-4b10a1ab2483,20,USA,Enterprise,40,120,4800,3,0,0,10,0,0.09090909090909091,1.7999999999999998,4800,13.5,0,4800.0
475bbb1d-1985-486c-95cb-5ccbfef02118,65,USA,Enterprise,35,120,4200,6,3,1,23,0,0.041666666666666664,4.199999999999999,4200,13.3,0,4200.0
2d9b402a-3991-42e6-a40b-80985bf0827c,46,Canada,Enterprise,27,120,3240,5,2,2,42,0,0.023255813953488372,3.4,3240,10.2,0,3240.0
b1f8bd1f-fda6-4dc2-a29a-841ad81e4116,32,India,Pro,29,50,1450,6,2,3,27,1,0.03571428571428571,3.9999999999999996,1450,11.1,0,725.0
